Week,Year,Store,CakeType,Delivered,DeliveryAmount,WeekIndex
31 MAR - 6 APR 2025,2025,BARBERTON PNP,CARROT,33.0,3300.0,1
31 MAR - 6 APR 2025,2025,BARBERTON PNP,CHOCOLATE,44.0,4400.0,1
31 MAR - 6 APR 2025,2025,BARBERTON PNP,COFFEE,18.0,1800.0,1
31 MAR - 6 APR 2025,2025,BARBERTON PNP,DARKM,63.0,6300.0,1
31 MAR - 6 APR 2025,2025,BARBERTON PNP,VANILLA,53.0,5300.0,1
31 MAR - 6 APR 2025,2025,ERMELO CHECKERS,CARROT,12.0,1435.1999999999998,1
31 MAR - 6 APR 2025,2025,ERMELO CHECKERS,CHOCOLATE,52.0,5860.400000000001,1
31 MAR - 6 APR 2025,2025,ERMELO CHECKERS,VANILLA,12.0,1352.4,1
31 MAR - 6 APR 2025,2025,ERMELO MERINO MALL,CARROT,10.0,1196.0,1
31 MAR - 6 APR 2025,2025,ERMELO MERINO MALL,CHOCOLATE,32.0,3606.4,1
31 MAR - 6 APR 2025,2025,ERMELO MERINO MALL,VANILLA,10.0,1127.0,1
31 MAR - 6 APR 2025,2025,HAZYVIEW CHECKERS,CARROT,76.0,9089.6,1
31 MAR - 6 APR 2025,2025,HAZYVIEW CHECKERS,CHOCOLATE,260.0,29302.0,1
31 MAR - 6 APR 2025,2025,HAZYVIEW CHECKERS,VANILLA,76.0,8565.2,1
31 MAR - 6 APR 2025,2025,HAZYVIEW SPAR,CARROT,5.0,600.0,1
31 MAR - 6 APR 2025,2025,HAZYVIEW SPAR,CHOCOLATE,10.0,1200.0,1
31 MAR - 6 APR 2025,2025,HAZYVIEW SPAR,COFFEE,5.0,600.0,1
31 MAR - 6 APR 2025,2025,HAZYVIEW SPAR,DARKM,10.0,1200.0,1
31 MAR - 6 APR 2025,2025,HAZYVIEW SPAR,VANILLA,5.0,600.0,1
31 MAR - 6 APR 2025,2025,HYPER CHECKERS ORCHADS,CARROT,28.0,3348.8,1
31 MAR - 6 APR 2025,2025,HYPER CHECKERS ORCHADS,CHOCOLATE,64.0,7212.8,1
31 MAR - 6 APR 2025,2025,HYPER CHECKERS ORCHADS,VANILLA,28.0,3155.6,1
31 MAR - 6 APR 2025,2025,KLIPFONTEIN,CARROT,10.0,1196.0,1
31 MAR - 6 APR 2025,2025,KLIPFONTEIN,CHOCOLATE,30.0,3381.0,1
31 MAR - 6 APR 2025,2025,KLIPFONTEIN,VANILLA,12.0,1352.4,1
31 MAR - 6 APR 2025,2025,LYDENBURG CHECKERS,CARROT,10.0,1196.0,1
31 MAR - 6 APR 2025,2025,LYDENBURG CHECKERS,CHOCOLATE,16.0,1803.2,1
31 MAR - 6 APR 2025,2025,LYDENBURG CHECKERS,VANILLA,8.0,901.6,1
31 MAR - 6 APR 2025,2025,MIDDELBRUG CHECKERS,CARROT,10.0,1196.0,1
31 MAR - 6 APR 2025,2025,MIDDELBRUG CHECKERS,CHOCOLATE,32.0,3606.4,1
31 MAR - 6 APR 2025,2025,MIDDELBRUG CHECKERS,VANILLA,10.0,1127.0,1
31 MAR - 6 APR 2025,2025,PLAZA SPAR,CHOCOLATE,12.0,1440.0,1
31 MAR - 6 APR 2025,2025,PLAZA SPAR,COFFEE,12.0,1440.0,1
31 MAR - 6 APR 2025,2025,PLAZA SPAR,DARKM,12.0,1440.0,1
31 MAR - 6 APR 2025,2025,PLAZA SPAR,VANILLA,4.0,480.0,1
31 MAR - 6 APR 2025,2025,RIVERSIDE MALL CHECKERS,CARROT,12.0,1435.1999999999998,1
31 MAR - 6 APR 2025,2025,RIVERSIDE MALL CHECKERS,CHOCOLATE,40.0,4508.0,1
31 MAR - 6 APR 2025,2025,RIVERSIDE MALL CHECKERS,VANILLA,24.0,2704.8,1
31 MAR - 6 APR 2025,2025,SAVEWAYS,CARROT,10.0,1196.0,1
31 MAR - 6 APR 2025,2025,SAVEWAYS,CHOCOLATE,32.0,3606.4,1
31 MAR - 6 APR 2025,2025,SAVEWAYS,VANILLA,10.0,1127.0,1
31 MAR - 6 APR 2025,2025,WITRIVIER CHECKERS,CARROT,16.0,1913.6,1
31 MAR - 6 APR 2025,2025,WITRIVIER CHECKERS,CHOCOLATE,44.0,4958.8,1
31 MAR - 6 APR 2025,2025,WITRIVIER CHECKERS,VANILLA,16.0,1803.2,1
7 - 13 APR 2025,2025,BARBERTON PNP,CARROT,34.0,3400.0,2
7 - 13 APR 2025,2025,BARBERTON PNP,CHOCOLATE,58.0,5800.0,2
7 - 13 APR 2025,2025,BARBERTON PNP,COFFEE,26.0,2600.0,2
7 - 13 APR 2025,2025,BARBERTON PNP,DARKM,45.0,4500.0,2
7 - 13 APR 2025,2025,BARBERTON PNP,VANILLA,32.0,3200.0,2
7 - 13 APR 2025,2025,ERMELO CHECKERS,CARROT,10.0,1196.0,2
7 - 13 APR 2025,2025,ERMELO CHECKERS,CHOCOLATE,44.0,4958.8,2
7 - 13 APR 2025,2025,ERMELO CHECKERS,VANILLA,10.0,1127.0,2
7 - 13 APR 2025,2025,ERMELO MERINO MALL,CARROT,10.0,1196.0,2
7 - 13 APR 2025,2025,ERMELO MERINO MALL,CHOCOLATE,24.0,2704.8,2
7 - 13 APR 2025,2025,ERMELO MERINO MALL,VANILLA,8.0,901.6,2
7 - 13 APR 2025,2025,GROVE SPAR,CARROT,5.0,600.0,2
7 - 13 APR 2025,2025,GROVE SPAR,CHOCOLATE,5.0,600.0,2
7 - 13 APR 2025,2025,GROVE SPAR,COFFEE,5.0,600.0,2
7 - 13 APR 2025,2025,GROVE SPAR,DARKM,5.0,600.0,2
7 - 13 APR 2025,2025,GROVE SPAR,VANILLA,5.0,600.0,2
7 - 13 APR 2025,2025,HAZYVIEW CHECKERS,CARROT,36.0,4305.599999999999,2
7 - 13 APR 2025,2025,HAZYVIEW CHECKERS,CHOCOLATE,152.0,17130.4,2
7 - 13 APR 2025,2025,HAZYVIEW CHECKERS,VANILLA,36.0,4057.2,2
7 - 13 APR 2025,2025,HAZYVIEW SPAR,CARROT,5.0,600.0,2
7 - 13 APR 2025,2025,HAZYVIEW SPAR,CHOCOLATE,10.0,1200.0,2
7 - 13 APR 2025,2025,HAZYVIEW SPAR,COFFEE,5.0,600.0,2
7 - 13 APR 2025,2025,HAZYVIEW SPAR,DARKM,10.0,1200.0,2
7 - 13 APR 2025,2025,HAZYVIEW SPAR,VANILLA,5.0,600.0,2
7 - 13 APR 2025,2025,HYPER CHECKERS ORCHADS,CARROT,26.0,3109.6,2
7 - 13 APR 2025,2025,HYPER CHECKERS ORCHADS,CHOCOLATE,52.0,5860.400000000001,2
7 - 13 APR 2025,2025,HYPER CHECKERS ORCHADS,VANILLA,26.0,2930.2000000000003,2
7 - 13 APR 2025,2025,KLIPFONTEIN,CARROT,10.0,1196.0,2
7 - 13 APR 2025,2025,KLIPFONTEIN,CHOCOLATE,25.0,2817.5,2
7 - 13 APR 2025,2025,KLIPFONTEIN,VANILLA,10.0,1127.0,2
7 - 13 APR 2025,2025,LYDENBURG CHECKERS,CARROT,10.0,1196.0,2
7 - 13 APR 2025,2025,LYDENBURG CHECKERS,CHOCOLATE,16.0,1803.2,2
7 - 13 APR 2025,2025,LYDENBURG CHECKERS,VANILLA,8.0,901.6,2
7 - 13 APR 2025,2025,MIDDELBRUG CHECKERS,CARROT,10.0,1196.0,2
7 - 13 APR 2025,2025,MIDDELBRUG CHECKERS,CHOCOLATE,24.0,2704.8,2
7 - 13 APR 2025,2025,MIDDELBRUG CHECKERS,VANILLA,10.0,1127.0,2
7 - 13 APR 2025,2025,PLAZA SPAR,CHOCOLATE,5.0,600.0,2
7 - 13 APR 2025,2025,PLAZA SPAR,COFFEE,5.0,600.0,2
7 - 13 APR 2025,2025,PLAZA SPAR,DARKM,5.0,600.0,2
7 - 13 APR 2025,2025,PLAZA SPAR,VANILLA,2.0,240.0,2
7 - 13 APR 2025,2025,RIVERSIDE MALL CHECKERS,CARROT,10.0,1196.0,2
7 - 13 APR 2025,2025,RIVERSIDE MALL CHECKERS,CHOCOLATE,34.0,3831.8,2
7 - 13 APR 2025,2025,RIVERSIDE MALL CHECKERS,VANILLA,22.0,2479.4,2
7 - 13 APR 2025,2025,SAVEWAYS,CARROT,10.0,1196.0,2
7 - 13 APR 2025,2025,SAVEWAYS,CHOCOLATE,24.0,2704.8,2
7 - 13 APR 2025,2025,SAVEWAYS,VANILLA,10.0,1127.0,2
7 - 13 APR 2025,2025,WITRIVIER CHECKERS,CARROT,16.0,1913.6,2
7 - 13 APR 2025,2025,WITRIVIER CHECKERS,CHOCOLATE,40.0,4508.0,2
7 - 13 APR 2025,2025,WITRIVIER CHECKERS,VANILLA,16.0,1803.2,2
14 - 20 APR 2025,2025,BARBERTON PNP,CARROT,29.0,2900.0,3
14 - 20 APR 2025,2025,BARBERTON PNP,CHOCOLATE,54.0,5400.0,3
14 - 20 APR 2025,2025,BARBERTON PNP,COFFEE,16.0,1600.0,3
14 - 20 APR 2025,2025,BARBERTON PNP,DARKM,58.0,5800.0,3
14 - 20 APR 2025,2025,BARBERTON PNP,VANILLA,41.0,4100.0,3
14 - 20 APR 2025,2025,ERMELO CHECKERS,CARROT,22.0,2631.2,3
14 - 20 APR 2025,2025,ERMELO CHECKERS,CHOCOLATE,100.0,11270.0,3
14 - 20 APR 2025,2025,ERMELO CHECKERS,VANILLA,22.0,2479.4,3
14 - 20 APR 2025,2025,ERMELO MERINO MALL,CARROT,18.0,2152.8,3
14 - 20 APR 2025,2025,ERMELO MERINO MALL,CHOCOLATE,40.0,4508.0,3
14 - 20 APR 2025,2025,ERMELO MERINO MALL,VANILLA,16.0,1803.2,3
14 - 20 APR 2025,2025,HAZYVIEW CHECKERS,CARROT,70.0,8372.0,3
14 - 20 APR 2025,2025,HAZYVIEW CHECKERS,CHOCOLATE,254.0,28625.8,3
14 - 20 APR 2025,2025,HAZYVIEW CHECKERS,VANILLA,70.0,7889.0,3
14 - 20 APR 2025,2025,HAZYVIEW SPAR,CARROT,5.0,600.0,3
14 - 20 APR 2025,2025,HAZYVIEW SPAR,CHOCOLATE,10.0,1200.0,3
14 - 20 APR 2025,2025,HAZYVIEW SPAR,COFFEE,5.0,600.0,3
14 - 20 APR 2025,2025,HAZYVIEW SPAR,DARKM,10.0,1200.0,3
14 - 20 APR 2025,2025,HAZYVIEW SPAR,VANILLA,5.0,600.0,3
14 - 20 APR 2025,2025,HYPER CHECKERS ORCHADS,CARROT,34.0,4066.4,3
14 - 20 APR 2025,2025,HYPER CHECKERS ORCHADS,CHOCOLATE,68.0,7663.6,3
14 - 20 APR 2025,2025,HYPER CHECKERS ORCHADS,VANILLA,34.0,3831.8,3
14 - 20 APR 2025,2025,KLIPFONTEIN,CARROT,18.0,2152.8,3
14 - 20 APR 2025,2025,KLIPFONTEIN,CHOCOLATE,45.0,5071.5,3
14 - 20 APR 2025,2025,KLIPFONTEIN,VANILLA,18.0,2028.6,3
14 - 20 APR 2025,2025,LYDENBURG CHECKERS,CARROT,10.0,1196.0,3
14 - 20 APR 2025,2025,LYDENBURG CHECKERS,CHOCOLATE,20.0,2254.0,3
14 - 20 APR 2025,2025,LYDENBURG CHECKERS,VANILLA,10.0,1127.0,3
14 - 20 APR 2025,2025,MIDDELBRUG CHECKERS,CARROT,18.0,2152.8,3
14 - 20 APR 2025,2025,MIDDELBRUG CHECKERS,CHOCOLATE,44.0,4958.8,3
14 - 20 APR 2025,2025,MIDDELBRUG CHECKERS,VANILLA,18.0,2028.6,3
14 - 20 APR 2025,2025,PLAZA SPAR,CHOCOLATE,11.0,1320.0,3
14 - 20 APR 2025,2025,PLAZA SPAR,COFFEE,12.0,1440.0,3
14 - 20 APR 2025,2025,PLAZA SPAR,DARKM,11.0,1320.0,3
14 - 20 APR 2025,2025,PLAZA SPAR,VANILLA,4.0,480.0,3
14 - 20 APR 2025,2025,RIVERSIDE MALL CHECKERS,CARROT,12.0,1435.1999999999998,3
14 - 20 APR 2025,2025,RIVERSIDE MALL CHECKERS,CHOCOLATE,46.0,5184.2,3
14 - 20 APR 2025,2025,RIVERSIDE MALL CHECKERS,VANILLA,24.0,2704.8,3
14 - 20 APR 2025,2025,SAVEWAYS,CARROT,18.0,2152.8,3
14 - 20 APR 2025,2025,SAVEWAYS,CHOCOLATE,44.0,4958.8,3
14 - 20 APR 2025,2025,SAVEWAYS,VANILLA,18.0,2028.6,3
14 - 20 APR 2025,2025,WITRIVIER CHECKERS,CARROT,22.0,2631.2,3
14 - 20 APR 2025,2025,WITRIVIER CHECKERS,CHOCOLATE,52.0,5860.400000000001,3
14 - 20 APR 2025,2025,WITRIVIER CHECKERS,VANILLA,22.0,2479.4,3
21 - 27 APR 2025,2025,BARBERTON PNP,CARROT,20.0,2000.0,4
21 - 27 APR 2025,2025,BARBERTON PNP,CHOCOLATE,77.0,7700.0,4
21 - 27 APR 2025,2025,BARBERTON PNP,COFFEE,17.0,1700.0,4
21 - 27 APR 2025,2025,BARBERTON PNP,DARKM,30.0,3000.0,4
21 - 27 APR 2025,2025,BARBERTON PNP,VANILLA,33.0,3300.0,4
21 - 27 APR 2025,2025,ERMELO CHECKERS,CARROT,10.0,1196.0,4
21 - 27 APR 2025,2025,ERMELO CHECKERS,CHOCOLATE,52.0,5860.400000000001,4
21 - 27 APR 2025,2025,ERMELO CHECKERS,VANILLA,10.0,1127.0,4
21 - 27 APR 2025,2025,ERMELO MERINO MALL,CARROT,10.0,1196.0,4
21 - 27 APR 2025,2025,ERMELO MERINO MALL,CHOCOLATE,20.0,2254.0,4
21 - 27 APR 2025,2025,ERMELO MERINO MALL,VANILLA,8.0,901.6,4
21 - 27 APR 2025,2025,GROVE SPAR,CARROT,5.0,600.0,4
21 - 27 APR 2025,2025,GROVE SPAR,CHOCOLATE,1.0,120.0,4
21 - 27 APR 2025,2025,GROVE SPAR,COFFEE,4.0,480.0,4
21 - 27 APR 2025,2025,GROVE SPAR,DARKM,5.0,600.0,4
21 - 27 APR 2025,2025,GROVE SPAR,VANILLA,2.0,240.0,4
21 - 27 APR 2025,2025,HAZYVIEW CHECKERS,CARROT,48.0,5740.799999999999,4
21 - 27 APR 2025,2025,HAZYVIEW CHECKERS,CHOCOLATE,160.0,18032.0,4
21 - 27 APR 2025,2025,HAZYVIEW CHECKERS,VANILLA,48.0,5409.6,4
21 - 27 APR 2025,2025,HAZYVIEW SPAR,CARROT,5.0,600.0,4
21 - 27 APR 2025,2025,HAZYVIEW SPAR,CHOCOLATE,10.0,1200.0,4
21 - 27 APR 2025,2025,HAZYVIEW SPAR,COFFEE,5.0,600.0,4
21 - 27 APR 2025,2025,HAZYVIEW SPAR,DARKM,10.0,1200.0,4
21 - 27 APR 2025,2025,HAZYVIEW SPAR,VANILLA,5.0,600.0,4
21 - 27 APR 2025,2025,HYPER CHECKERS ORCHADS,CARROT,32.0,3827.2,4
21 - 27 APR 2025,2025,HYPER CHECKERS ORCHADS,CHOCOLATE,64.0,7212.8,4
21 - 27 APR 2025,2025,HYPER CHECKERS ORCHADS,VANILLA,32.0,3606.4,4
21 - 27 APR 2025,2025,KLIPFONTEIN,CARROT,10.0,1196.0,4
21 - 27 APR 2025,2025,KLIPFONTEIN,CHOCOLATE,28.0,3155.6,4
21 - 27 APR 2025,2025,KLIPFONTEIN,VANILLA,10.0,1127.0,4
21 - 27 APR 2025,2025,LYDENBURG CHECKERS,CARROT,8.0,956.8,4
21 - 27 APR 2025,2025,LYDENBURG CHECKERS,CHOCOLATE,20.0,2254.0,4
21 - 27 APR 2025,2025,LYDENBURG CHECKERS,VANILLA,8.0,901.6,4
21 - 27 APR 2025,2025,MIDDELBRUG CHECKERS,CARROT,10.0,1196.0,4
21 - 27 APR 2025,2025,MIDDELBRUG CHECKERS,CHOCOLATE,28.0,3155.6,4
21 - 27 APR 2025,2025,MIDDELBRUG CHECKERS,VANILLA,10.0,1127.0,4
21 - 27 APR 2025,2025,PLAZA SPAR,CHOCOLATE,5.0,600.0,4
21 - 27 APR 2025,2025,PLAZA SPAR,COFFEE,5.0,600.0,4
21 - 27 APR 2025,2025,PLAZA SPAR,DARKM,5.0,600.0,4
21 - 27 APR 2025,2025,PLAZA SPAR,VANILLA,2.0,240.0,4
21 - 27 APR 2025,2025,RIVERSIDE MALL CHECKERS,CARROT,12.0,1435.1999999999998,4
21 - 27 APR 2025,2025,RIVERSIDE MALL CHECKERS,CHOCOLATE,36.0,4057.2,4
21 - 27 APR 2025,2025,RIVERSIDE MALL CHECKERS,VANILLA,24.0,2704.8,4
21 - 27 APR 2025,2025,SAVEWAYS,CARROT,10.0,1196.0,4
21 - 27 APR 2025,2025,SAVEWAYS,CHOCOLATE,28.0,3155.6,4
21 - 27 APR 2025,2025,SAVEWAYS,VANILLA,10.0,1127.0,4
21 - 27 APR 2025,2025,WITRIVIER CHECKERS,CARROT,16.0,1913.6,4
21 - 27 APR 2025,2025,WITRIVIER CHECKERS,CHOCOLATE,40.0,4508.0,4
21 - 27 APR 2025,2025,WITRIVIER CHECKERS,VANILLA,16.0,1803.2,4
28 APR - 4 MAY 2025,2025,BARBERTON PNP,CARROT,34.0,3400.0,5
28 APR - 4 MAY 2025,2025,BARBERTON PNP,CHOCOLATE,80.0,8000.0,5
28 APR - 4 MAY 2025,2025,BARBERTON PNP,COFFEE,37.0,3700.0,5
28 APR - 4 MAY 2025,2025,BARBERTON PNP,DARKM,70.0,7000.0,5
28 APR - 4 MAY 2025,2025,BARBERTON PNP,VANILLA,42.0,4200.0,5
28 APR - 4 MAY 2025,2025,ERMELO CHECKERS,CARROT,10.0,1196.0,5
28 APR - 4 MAY 2025,2025,ERMELO CHECKERS,CHOCOLATE,52.0,5860.400000000001,5
28 APR - 4 MAY 2025,2025,ERMELO CHECKERS,VANILLA,10.0,1127.0,5
28 APR - 4 MAY 2025,2025,ERMELO MERINO MALL,CARROT,10.0,1196.0,5
28 APR - 4 MAY 2025,2025,ERMELO MERINO MALL,CHOCOLATE,20.0,2254.0,5
28 APR - 4 MAY 2025,2025,ERMELO MERINO MALL,VANILLA,8.0,901.6,5
28 APR - 4 MAY 2025,2025,GROVE SPAR,CARROT,5.0,600.0,5
28 APR - 4 MAY 2025,2025,GROVE SPAR,CHOCOLATE,5.0,600.0,5
28 APR - 4 MAY 2025,2025,GROVE SPAR,COFFEE,5.0,600.0,5
28 APR - 4 MAY 2025,2025,GROVE SPAR,DARKM,5.0,600.0,5
28 APR - 4 MAY 2025,2025,GROVE SPAR,VANILLA,5.0,600.0,5
28 APR - 4 MAY 2025,2025,HAZYVIEW CHECKERS,CARROT,72.0,8611.199999999999,5
28 APR - 4 MAY 2025,2025,HAZYVIEW CHECKERS,CHOCOLATE,244.0,27498.8,5
28 APR - 4 MAY 2025,2025,HAZYVIEW CHECKERS,VANILLA,74.0,8339.800000000001,5
28 APR - 4 MAY 2025,2025,HAZYVIEW SPAR,CARROT,5.0,600.0,5
28 APR - 4 MAY 2025,2025,HAZYVIEW SPAR,CHOCOLATE,10.0,1200.0,5
28 APR - 4 MAY 2025,2025,HAZYVIEW SPAR,COFFEE,5.0,600.0,5
28 APR - 4 MAY 2025,2025,HAZYVIEW SPAR,DARKM,10.0,1200.0,5
28 APR - 4 MAY 2025,2025,HAZYVIEW SPAR,VANILLA,5.0,600.0,5
28 APR - 4 MAY 2025,2025,HYPER CHECKERS ORCHADS,CARROT,28.0,3348.8,5
28 APR - 4 MAY 2025,2025,HYPER CHECKERS ORCHADS,CHOCOLATE,60.0,6762.0,5
28 APR - 4 MAY 2025,2025,HYPER CHECKERS ORCHADS,VANILLA,28.0,3155.6,5
28 APR - 4 MAY 2025,2025,KLIPFONTEIN,CARROT,10.0,1196.0,5
28 APR - 4 MAY 2025,2025,KLIPFONTEIN,CHOCOLATE,24.0,2704.8,5
28 APR - 4 MAY 2025,2025,KLIPFONTEIN,VANILLA,10.0,1127.0,5
28 APR - 4 MAY 2025,2025,LYDENBURG CHECKERS,CARROT,7.0,837.1999999999999,5
28 APR - 4 MAY 2025,2025,LYDENBURG CHECKERS,CHOCOLATE,16.0,1803.2,5
28 APR - 4 MAY 2025,2025,LYDENBURG CHECKERS,VANILLA,7.0,788.9,5
28 APR - 4 MAY 2025,2025,MIDDELBRUG CHECKERS,CARROT,10.0,1196.0,5
28 APR - 4 MAY 2025,2025,MIDDELBRUG CHECKERS,CHOCOLATE,28.0,3155.6,5
28 APR - 4 MAY 2025,2025,MIDDELBRUG CHECKERS,VANILLA,10.0,1127.0,5
28 APR - 4 MAY 2025,2025,PLAZA SPAR,CARROT,0.0,0.0,5
28 APR - 4 MAY 2025,2025,PLAZA SPAR,CHOCOLATE,10.0,1200.0,5
28 APR - 4 MAY 2025,2025,PLAZA SPAR,COFFEE,10.0,1200.0,5
28 APR - 4 MAY 2025,2025,PLAZA SPAR,DARKM,10.0,1200.0,5
28 APR - 4 MAY 2025,2025,PLAZA SPAR,VANILLA,4.0,480.0,5
28 APR - 4 MAY 2025,2025,RIVERSIDE MALL CHECKERS,CARROT,12.0,1435.1999999999998,5
28 APR - 4 MAY 2025,2025,RIVERSIDE MALL CHECKERS,CHOCOLATE,40.0,4508.0,5
28 APR - 4 MAY 2025,2025,RIVERSIDE MALL CHECKERS,VANILLA,22.0,2479.4,5
28 APR - 4 MAY 2025,2025,SAVEWAYS,CARROT,10.0,1196.0,5
28 APR - 4 MAY 2025,2025,SAVEWAYS,CHOCOLATE,28.0,3155.6,5
28 APR - 4 MAY 2025,2025,SAVEWAYS,VANILLA,10.0,1127.0,5
28 APR - 4 MAY 2025,2025,WITRIVIER CHECKERS,CARROT,16.0,1913.6,5
28 APR - 4 MAY 2025,2025,WITRIVIER CHECKERS,CHOCOLATE,40.0,4508.0,5
28 APR - 4 MAY 2025,2025,WITRIVIER CHECKERS,VANILLA,16.0,1803.2,5
