Week,Year,Store,CakeType,Returns,ReturnAmount,WeekIndex
31 MAR - 6 APR 2025,2025,BARBERTON PNP,CHOCOLATE,1.0,112.7,1
31 MAR - 6 APR 2025,2025,BARBERTON PNP,COFFEE,1.0,119.6,1
31 MAR - 6 APR 2025,2025,ERMELO CHECKERS,CHOCOLATE,7.0,788.9,1
31 MAR - 6 APR 2025,2025,HAZYVIEW CHECKERS,CARROT,3.0,358.79999999999995,1
31 MAR - 6 APR 2025,2025,HAZYVIEW CHECKERS,CHOCOLATE,11.0,1239.7,1
31 MAR - 6 APR 2025,2025,HAZYVIEW CHECKERS,VANILLA,2.0,225.4,1
31 MAR - 6 APR 2025,2025,HAZYVIEW SPAR,CARROT,2.0,225.4,1
31 MAR - 6 APR 2025,2025,HAZYVIEW SPAR,DARKM,1.0,112.7,1
31 MAR - 6 APR 2025,2025,KLIPFONTEIN,CARROT,6.0,717.5999999999999,1
31 MAR - 6 APR 2025,2025,KLIPFONTEIN,CHOCOLATE,7.0,788.9,1
31 MAR - 6 APR 2025,2025,LYDENBURG CHECKERS,CARROT,4.0,478.4,1
31 MAR - 6 APR 2025,2025,LYDENBURG CHECKERS,CHOCOLATE,8.0,901.6,1
31 MAR - 6 APR 2025,2025,LYDENBURG CHECKERS,VANILLA,2.0,225.4,1
31 MAR - 6 APR 2025,2025,MIDDELBRUG CHECKERS,CHOCOLATE,1.0,112.7,1
31 MAR - 6 APR 2025,2025,RIVERSIDE MALL CHECKERS,CARROT,1.0,119.6,1
31 MAR - 6 APR 2025,2025,RIVERSIDE MALL CHECKERS,CHOCOLATE,6.0,676.2,1
31 MAR - 6 APR 2025,2025,RIVERSIDE MALL CHECKERS,VANILLA,4.0,450.8,1
31 MAR - 6 APR 2025,2025,WITRIVIER CHECKERS,CHOCOLATE,1.0,112.7,1
31 MAR - 6 APR 2025,2025,WITRIVIER CHECKERS,VANILLA,5.0,563.5,1
7 - 13 APR 2025,2025,BARBERTON PNP,CARROT,6.0,600.0,2
7 - 13 APR 2025,2025,BARBERTON PNP,CHOCOLATE,4.0,400.0,2
7 - 13 APR 2025,2025,BARBERTON PNP,COFFEE,7.0,700.0,2
7 - 13 APR 2025,2025,BARBERTON PNP,DARKM,1.0,100.0,2
7 - 13 APR 2025,2025,BARBERTON PNP,VANILLA,6.0,600.0,2
7 - 13 APR 2025,2025,ERMELO CHECKERS,CHOCOLATE,1.0,112.7,2
7 - 13 APR 2025,2025,ERMELO CHECKERS,CHOCOLATE,7.0,788.9,2
7 - 13 APR 2025,2025,ERMELO CHECKERS,VANILLA,2.0,0.0,2
7 - 13 APR 2025,2025,HAZYVIEW CHECKERS,CHOCOLATE,7.0,788.9,2
7 - 13 APR 2025,2025,HAZYVIEW SPAR,CARROT,1.0,120.0,2
7 - 13 APR 2025,2025,KLIPFONTEIN,CHOCOLATE,5.0,563.5,2
7 - 13 APR 2025,2025,LYDENBURG CHECKERS,CARROT,5.0,598.0,2
7 - 13 APR 2025,2025,LYDENBURG CHECKERS,VANILLA,8.0,901.6,2
7 - 13 APR 2025,2025,MIDDELBRUG CHECKERS,CHOCOLATE,1.0,112.7,2
7 - 13 APR 2025,2025,RIVERSIDE MALL CHECKERS,CHOCOLATE,1.0,112.7,2
7 - 13 APR 2025,2025,RIVERSIDE MALL CHECKERS,VANILLA,1.0,112.7,2
14 - 20 APR 2025,2025,BARBERTON PNP,CARROT,3.0,300.0,3
14 - 20 APR 2025,2025,BARBERTON PNP,VANILLA,2.0,200.0,3
14 - 20 APR 2025,2025,ERMELO CHECKERS,CARROT,4.0,478.4,3
14 - 20 APR 2025,2025,ERMELO CHECKERS,CARROT,4.0,478.4,3
14 - 20 APR 2025,2025,ERMELO CHECKERS,CHOCOLATE,11.0,1239.7,3
14 - 20 APR 2025,2025,ERMELO CHECKERS,CHOCOLATE,8.0,901.6,3
14 - 20 APR 2025,2025,ERMELO CHECKERS,VANILLA,3.0,338.1,3
14 - 20 APR 2025,2025,ERMELO CHECKERS,VANILLA,1.0,112.7,3
14 - 20 APR 2025,2025,HAZYVIEW CHECKERS,CARROT,1.0,119.6,3
14 - 20 APR 2025,2025,HAZYVIEW CHECKERS,CHOCOLATE,20.0,2254.0,3
14 - 20 APR 2025,2025,HAZYVIEW CHECKERS,VANILLA,1.0,112.7,3
14 - 20 APR 2025,2025,HAZYVIEW SPAR,CARROT,1.0,120.0,3
14 - 20 APR 2025,2025,HAZYVIEW SPAR,COFFEE,1.0,120.0,3
14 - 20 APR 2025,2025,HAZYVIEW SPAR,DARKM,3.0,360.0,3
14 - 20 APR 2025,2025,HAZYVIEW SPAR,VANILLA,1.0,120.0,3
14 - 20 APR 2025,2025,LYDENBURG CHECKERS,CARROT,4.0,478.4,3
14 - 20 APR 2025,2025,LYDENBURG CHECKERS,CHOCOLATE,7.0,788.9,3
14 - 20 APR 2025,2025,LYDENBURG CHECKERS,VANILLA,6.0,676.2,3
14 - 20 APR 2025,2025,MIDDELBRUG CHECKERS,CHOCOLATE,3.0,338.1,3
14 - 20 APR 2025,2025,RIVERSIDE MALL CHECKERS,CARROT,1.0,119.6,3
14 - 20 APR 2025,2025,RIVERSIDE MALL CHECKERS,CHOCOLATE,1.0,112.7,3
14 - 20 APR 2025,2025,RIVERSIDE MALL CHECKERS,VANILLA,6.0,676.2,3
14 - 20 APR 2025,2025,WITRIVIER CHECKERS,CARROT,2.0,239.2,3
14 - 20 APR 2025,2025,WITRIVIER CHECKERS,CHOCOLATE,10.0,1127.0,3
14 - 20 APR 2025,2025,WITRIVIER CHECKERS,VANILLA,6.0,676.2,3
21 - 27 APR 2025,2025,BARBERTON PNP,CARROT,10.0,1000.0,4
21 - 27 APR 2025,2025,BARBERTON PNP,CHOCOLATE,14.0,1400.0,4
21 - 27 APR 2025,2025,BARBERTON PNP,COFFEE,2.0,200.0,4
21 - 27 APR 2025,2025,BARBERTON PNP,DARKM,2.0,200.0,4
21 - 27 APR 2025,2025,BARBERTON PNP,VANILLA,3.0,300.0,4
21 - 27 APR 2025,2025,ERMELO CHECKERS,CARROT,5.0,598.0,4
21 - 27 APR 2025,2025,ERMELO CHECKERS,CHOCOLATE,17.0,1915.9,4
21 - 27 APR 2025,2025,ERMELO CHECKERS,CHOCOLATE,9.0,1014.3,4
21 - 27 APR 2025,2025,ERMELO CHECKERS,VANILLA,4.0,450.8,4
21 - 27 APR 2025,2025,GROVE SPAR,CHOCOLATE,4.0,480.0,4
21 - 27 APR 2025,2025,GROVE SPAR,COFFEE,1.0,120.0,4
21 - 27 APR 2025,2025,GROVE SPAR,VANILLA,3.0,360.0,4
21 - 27 APR 2025,2025,HAZYVIEW CHECKERS,CARROT,6.0,717.5999999999999,4
21 - 27 APR 2025,2025,HAZYVIEW CHECKERS,CHOCOLATE,36.0,4057.2,4
21 - 27 APR 2025,2025,HAZYVIEW CHECKERS,VANILLA,14.0,1577.8,4
21 - 27 APR 2025,2025,HYPER CHECKERS ORCHADS,CARROT,1.0,119.6,4
21 - 27 APR 2025,2025,HYPER CHECKERS ORCHADS,VANILLA,1.0,112.7,4
21 - 27 APR 2025,2025,LYDENBURG CHECKERS,CHOCOLATE,1.0,112.7,4
21 - 27 APR 2025,2025,LYDENBURG CHECKERS,VANILLA,4.0,450.8,4
21 - 27 APR 2025,2025,RIVERSIDE MALL CHECKERS,CARROT,4.0,478.4,4
21 - 27 APR 2025,2025,RIVERSIDE MALL CHECKERS,CHOCOLATE,4.0,450.8,4
21 - 27 APR 2025,2025,RIVERSIDE MALL CHECKERS,VANILLA,4.0,450.8,4
21 - 27 APR 2025,2025,WITRIVIER CHECKERS,CARROT,2.0,239.2,4
21 - 27 APR 2025,2025,WITRIVIER CHECKERS,VANILLA,4.0,450.8,4
28 APR - 4 MAY 2025,2025,BARBERTON PNP,CARROT,1.0,100.0,5
28 APR - 4 MAY 2025,2025,BARBERTON PNP,CHOCOLATE,6.0,600.0,5
28 APR - 4 MAY 2025,2025,ERMELO CHECKERS,CARROT,1.0,119.6,5
28 APR - 4 MAY 2025,2025,ERMELO CHECKERS,CARROT,6.0,717.5999999999999,5
28 APR - 4 MAY 2025,2025,ERMELO CHECKERS,CHOCOLATE,18.0,2028.6,5
28 APR - 4 MAY 2025,2025,ERMELO CHECKERS,CHOCOLATE,10.0,1127.0,5
28 APR - 4 MAY 2025,2025,ERMELO CHECKERS,VANILLA,7.0,788.9,5
28 APR - 4 MAY 2025,2025,ERMELO CHECKERS,VANILLA,6.0,676.2,5
28 APR - 4 MAY 2025,2025,HAZYVIEW CHECKERS,CARROT,4.0,478.4,5
28 APR - 4 MAY 2025,2025,HAZYVIEW CHECKERS,CHOCOLATE,44.0,4958.8,5
28 APR - 4 MAY 2025,2025,HAZYVIEW SPAR,CARROT,1.0,120.0,5
28 APR - 4 MAY 2025,2025,HAZYVIEW SPAR,COFFEE,1.0,120.0,5
28 APR - 4 MAY 2025,2025,HAZYVIEW SPAR,VANILLA,1.0,120.0,5
28 APR - 4 MAY 2025,2025,LYDENBURG CHECKERS,CARROT,1.0,119.6,5
28 APR - 4 MAY 2025,2025,LYDENBURG CHECKERS,CHOCOLATE,9.0,1014.3,5
28 APR - 4 MAY 2025,2025,LYDENBURG CHECKERS,VANILLA,2.0,225.4,5
28 APR - 4 MAY 2025,2025,MIDDELBRUG CHECKERS,CARROT,6.0,717.5999999999999,5
28 APR - 4 MAY 2025,2025,MIDDELBRUG CHECKERS,CHOCOLATE,19.0,2141.3,5
28 APR - 4 MAY 2025,2025,MIDDELBRUG CHECKERS,VANILLA,2.0,225.4,5
28 APR - 4 MAY 2025,2025,PLAZA SPAR,COFFEE,1.0,120.0,5
28 APR - 4 MAY 2025,2025,PLAZA SPAR,DARKM,2.0,240.0,5
28 APR - 4 MAY 2025,2025,RIVERSIDE MALL CHECKERS,CARROT,2.0,239.2,5
28 APR - 4 MAY 2025,2025,RIVERSIDE MALL CHECKERS,CHOCOLATE,1.0,112.7,5
28 APR - 4 MAY 2025,2025,RIVERSIDE MALL CHECKERS,VANILLA,4.0,450.8,5
28 APR - 4 MAY 2025,2025,WITRIVIER CHECKERS,CARROT,2.0,239.2,5
28 APR - 4 MAY 2025,2025,WITRIVIER CHECKERS,CHOCOLATE,1.0,112.7,5
28 APR - 4 MAY 2025,2025,WITRIVIER CHECKERS,VANILLA,4.0,450.8,5
